x,y,flux(W/m2)
25.075,0.075,0
25.025,0.075,0
24.975,0.075,0
24.925,0.075,0
24.875,0.075,0
24.825,0.075,0
24.775,0.075,0
24.725,0.075,0
24.675,0.075,0
24.625,0.075,0
24.575,0.075,0
24.525,0.075,0
24.475,0.075,0
24.425,0.075,0
24.375,0.075,0
24.325,0.075,0
24.275,0.075,0
24.225,0.075,0
24.175,0.075,0
24.125,0.075,0
24.075,0.075,0
24.025,0.075,0
23.975,0.075,0
23.925,0.075,0
23.875,0.075,0
23.825,0.075,0
23.775,0.075,0
23.725,0.075,0
23.675,0.075,0
23.625,0.075,0
23.575,0.075,0
23.525,0.075,0
23.475,0.075,0
23.425,0.075,0
23.375,0.075,0
23.325,0.075,0
23.275,0.075,0
23.225,0.075,0
23.175,0.075,0
23.125,0.075,0
23.075,0.075,0
23.025,0.075,0
22.975,0.075,0
22.925,0.075,0
22.875,0.075,0
22.825,0.075,0
22.775,0.075,0
22.725,0.075,0
22.675,0.075,0
22.625,0.075,0
22.575,0.075,0
22.525,0.075,0
22.475,0.075,0
22.425,0.075,0
22.375,0.075,0
22.325,0.075,0
22.275,0.075,0
22.225,0.075,0
22.175,0.075,0
22.125,0.075,0
22.075,0.075,0
22.025,0.075,0
21.975,0.075,0
21.925,0.075,0
21.875,0.075,0
21.825,0.075,0
21.775,0.075,0
21.725,0.075,0
21.675,0.075,0
21.625,0.075,0
21.575,0.075,0
21.525,0.075,0
21.475,0.075,0
21.425,0.075,0
21.375,0.075,0
21.325,0.075,0
21.275,0.075,0
21.225,0.075,0
21.175,0.075,0
21.125,0.075,0
21.075,0.075,0
21.025,0.075,0
20.975,0.075,0
20.925,0.075,0
20.875,0.075,0
20.825,0.075,0
20.775,0.075,0
20.725,0.075,0
20.675,0.075,0
20.625,0.075,0
20.575,0.075,0
20.525,0.075,0
20.475,0.075,0
20.425,0.075,0
20.375,0.075,0
20.325,0.075,7.61326e-06
20.275,0.075,0.00117012
20.225,0.075,0.00378958
20.175,0.075,0.00766573
20.125,0.075,0.00752166
20.075,0.075,0.0102616
20.025,0.075,0.0126905
19.975,0.075,0.0150244
19.925,0.075,0.0182975
19.875,0.075,0.0218174
19.825,0.075,0.0247533
19.775,0.075,0.0283237
19.725,0.075,0.0407134
19.675,0.075,0.0589075
19.625,0.075,0.0875368
19.575,0.075,0.122168
19.525,0.075,0.162138
19.475,0.075,0.214373
19.425,0.075,0.294522
19.375,0.075,0.386444
19.325,0.075,0.466365
19.275,0.075,0.543634
19.225,0.075,0.627105
19.175,0.075,0.705575
19.125,0.075,0.784117
19.075,0.075,0.867804
19.025,0.075,0.945768
18.975,0.075,1.01606
18.925,0.075,1.09752
18.875,0.075,1.16532
18.825,0.075,1.24983
18.775,0.075,1.35333
18.725,0.075,1.47195
18.675,0.075,1.54342
18.625,0.075,1.61262
18.575,0.075,1.69318
18.525,0.075,1.7861
18.475,0.075,1.85458
18.425,0.075,1.93042
18.375,0.075,2.0103
18.325,0.075,2.03099
18.275,0.075,2.02712
18.225,0.075,2.06699
18.175,0.075,2.11166
18.125,0.075,2.12135
18.075,0.075,2.07692
18.025,0.075,2.02754
17.975,0.075,2.0101
17.925,0.075,1.98178
17.875,0.075,1.94994
17.825,0.075,1.95468
17.775,0.075,1.95452
17.725,0.075,1.92304
17.675,0.075,1.89475
17.625,0.075,1.89735
17.575,0.075,1.95652
17.525,0.075,2.0784
17.475,0.075,2.26036
17.425,0.075,2.49852
17.375,0.075,2.79049
17.325,0.075,3.10715
17.275,0.075,3.39636
17.225,0.075,3.71108
17.175,0.075,4.05672
17.125,0.075,4.39521
17.075,0.075,4.7154
17.025,0.075,5.05996
16.975,0.075,5.43215
16.925,0.075,5.81961
16.875,0.075,6.26216
16.825,0.075,6.72643
16.775,0.075,7.25467
16.725,0.075,7.80569
16.675,0.075,8.36966
16.625,0.075,8.88128
16.575,0.075,9.18897
16.525,0.075,9.46972
16.475,0.075,9.80019
16.425,0.075,10.0687
16.375,0.075,10.2881
16.325,0.075,10.5212
16.275,0.075,10.7731
16.225,0.075,10.9763
16.175,0.075,11.0921
16.125,0.075,11.2228
16.075,0.075,11.3408
16.025,0.075,11.3966
15.975,0.075,11.4945
15.925,0.075,11.6137
15.875,0.075,11.7457
15.825,0.075,11.8174
15.775,0.075,11.8368
15.725,0.075,11.7607
15.675,0.075,11.5919
15.625,0.075,11.3399
15.575,0.075,11.0733
15.525,0.075,10.7217
15.475,0.075,10.3881
15.425,0.075,10.0569
15.375,0.075,9.76456
15.325,0.075,9.44825
15.275,0.075,9.0423
15.225,0.075,8.58413
15.175,0.075,8.20298
15.125,0.075,7.88909
15.075,0.075,7.56823
15.025,0.075,7.22653
14.975,0.075,6.78434
14.925,0.075,6.2772
14.875,0.075,5.86484
14.825,0.075,5.52521
14.775,0.075,5.17902
14.725,0.075,4.85279
14.675,0.075,4.51388
14.625,0.075,4.18824
14.575,0.075,3.87178
14.525,0.075,3.5337
14.475,0.075,3.17857
14.425,0.075,2.87482
14.375,0.075,2.65818
14.325,0.075,2.46288
14.275,0.075,2.26765
14.225,0.075,2.06352
14.175,0.075,1.85083
14.125,0.075,1.71763
14.075,0.075,1.64461
14.025,0.075,1.55774
13.975,0.075,1.49108
13.925,0.075,1.44688
13.875,0.075,1.41848
13.825,0.075,1.36863
13.775,0.075,1.33994
13.725,0.075,1.34258
13.675,0.075,1.38415
13.625,0.075,1.42564
13.575,0.075,1.4475
13.525,0.075,1.48405
13.475,0.075,1.52692
13.425,0.075,1.53769
13.375,0.075,1.54372
13.325,0.075,1.58404
13.275,0.075,1.64598
13.225,0.075,1.7183
13.175,0.075,1.79242
13.125,0.075,1.83982
13.075,0.075,1.84898
13.025,0.075,1.88591
12.975,0.075,1.87905
12.925,0.075,1.83986
12.875,0.075,1.7991
12.825,0.075,1.78106
12.775,0.075,1.74679
12.725,0.075,1.72556
12.675,0.075,1.70619
12.625,0.075,1.68469
12.575,0.075,1.66487
12.525,0.075,1.61565
12.475,0.075,1.53747
12.425,0.075,1.45836
12.375,0.075,1.35184
12.325,0.075,1.23776
12.275,0.075,1.11887
12.225,0.075,0.998897
12.175,0.075,0.865806
12.125,0.075,0.755499
12.075,0.075,0.641353
12.025,0.075,0.532135
11.975,0.075,0.456063
11.925,0.075,0.407899
11.875,0.075,0.369136
11.825,0.075,0.321107
11.775,0.075,0.265462
11.725,0.075,0.212838
11.675,0.075,0.162775
11.625,0.075,0.11926
11.575,0.075,0.0834425
11.525,0.075,0.0687001
11.475,0.075,0.0616401
11.425,0.075,0.0603751
11.375,0.075,0.0583739
11.325,0.075,0.0522953
11.275,0.075,0.0479204
11.225,0.075,0.0468323
11.175,0.075,0.0400935
11.125,0.075,0.02935
11.075,0.075,0.025407
11.025,0.075,0.020616
10.975,0.075,0.0166663
10.925,0.075,0.0137558
10.875,0.075,0.00675771
10.825,0.075,0.00363534
10.775,0.075,0.00286986
10.725,0.075,0.00207391
10.675,0.075,0.00110858
10.625,0.075,6.69407e-05
10.575,0.075,5.40094e-06
10.525,0.075,0
10.475,0.075,0
10.425,0.075,0
10.375,0.075,0
10.325,0.075,0
10.275,0.075,0
10.225,0.075,0
10.175,0.075,0
10.125,0.075,0
10.075,0.075,0
10.025,0.075,0
9.975,0.075,0
9.925,0.075,0
9.875,0.075,0
9.825,0.075,0
9.775,0.075,0
9.725,0.075,0
9.675,0.075,0
9.625,0.075,0
9.575,0.075,0
9.525,0.075,0
9.475,0.075,0
9.425,0.075,0
9.375,0.075,0
9.325,0.075,0
9.275,0.075,0
9.225,0.075,0
9.175,0.075,0
9.125,0.075,0
9.075,0.075,0
9.025,0.075,0
8.975,0.075,0
8.925,0.075,0
8.875,0.075,0
8.825,0.075,0
8.775,0.075,0
8.725,0.075,0
8.675,0.075,0
8.625,0.075,0
8.575,0.075,0
8.525,0.075,0
8.475,0.075,0
8.425,0.075,0
8.375,0.075,0
8.325,0.075,0
8.275,0.075,0
8.225,0.075,0
8.175,0.075,0
8.125,0.075,0
8.075,0.075,0
8.025,0.075,0
7.975,0.075,0
7.925,0.075,0
7.875,0.075,0
7.825,0.075,0
7.775,0.075,0
7.725,0.075,0
7.675,0.075,0
7.625,0.075,0
7.575,0.075,0
7.525,0.075,0
7.475,0.075,0
7.425,0.075,0
7.375,0.075,0
7.325,0.075,0
7.275,0.075,0
7.225,0.075,0
7.175,0.075,0
7.125,0.075,0
7.075,0.075,0
7.025,0.075,0
6.975,0.075,0
6.925,0.075,0
6.875,0.075,0
6.825,0.075,0
6.775,0.075,0
6.725,0.075,0
6.675,0.075,0
6.625,0.075,0
6.575,0.075,0
6.525,0.075,0
6.475,0.075,0
6.425,0.075,0
6.375,0.075,0
6.325,0.075,0
6.275,0.075,0
6.225,0.075,0
6.175,0.075,0
6.125,0.075,0
6.075,0.075,0
6.025,0.075,0
5.975,0.075,0
5.925,0.075,0
5.875,0.075,0
5.825,0.075,0
5.775,0.075,0
5.725,0.075,0
5.675,0.075,0
5.625,0.075,0
5.575,0.075,0
5.525,0.075,0
5.475,0.075,0
5.425,0.075,0
5.375,0.075,0
5.325,0.075,0
5.275,0.075,0
5.225,0.075,0
5.175,0.075,0
5.125,0.075,0
5.075,0.075,0
5.025,0.075,0
4.975,0.075,0
4.925,0.075,0
4.875,0.075,0
4.825,0.075,0
4.775,0.075,0
4.725,0.075,0
4.675,0.075,0
4.625,0.075,0
4.575,0.075,0
4.525,0.075,0
4.475,0.075,0
4.425,0.075,0
4.375,0.075,0
4.325,0.075,0
4.275,0.075,0
4.225,0.075,0
4.175,0.075,0
4.125,0.075,0
4.075,0.075,0
4.025,0.075,0
3.975,0.075,0
3.925,0.075,0
3.875,0.075,0
3.825,0.075,0
3.775,0.075,0
3.725,0.075,0
3.675,0.075,0
3.625,0.075,0
3.575,0.075,0
3.525,0.075,0
3.475,0.075,0
3.425,0.075,0
3.375,0.075,0
3.325,0.075,0
3.275,0.075,0
3.225,0.075,0
3.175,0.075,0
3.125,0.075,0
3.075,0.075,0
3.025,0.075,0
2.975,0.075,0
2.925,0.075,0
2.875,0.075,0
2.825,0.075,0
2.775,0.075,0
2.725,0.075,0
2.675,0.075,0
2.625,0.075,0
2.575,0.075,0
2.525,0.075,0
2.475,0.075,0
2.425,0.075,0
2.375,0.075,0
2.325,0.075,0
2.275,0.075,0
2.225,0.075,0
2.175,0.075,0
2.125,0.075,0
2.075,0.075,0
2.025,0.075,0
1.975,0.075,0
1.925,0.075,0
1.875,0.075,0
1.825,0.075,0
1.775,0.075,0
1.725,0.075,0
1.675,0.075,0
1.625,0.075,0
1.575,0.075,0
1.525,0.075,0
1.475,0.075,0
1.425,0.075,0
1.375,0.075,0
1.325,0.075,0
1.275,0.075,0
1.225,0.075,0
1.175,0.075,0
1.125,0.075,0
1.075,0.075,0
1.025,0.075,0
0.975,0.075,0
0.925001,0.075,0
0.875,0.075,0
0.825001,0.075,0
0.775,0.075,0
0.725,0.075,0
0.675001,0.075,0
0.625,0.075,0
0.575001,0.075,0
0.525,0.075,0
0.475,0.075,0
0.425001,0.075,0
0.375,0.075,0
0.325001,0.075,0
0.275,0.075,0
0.225,0.075,0
0.175001,0.075,0
0.125,0.075,0
0.0750008,0.075,0
0.0249996,0.075,0
31.425,0.125,0
31.375,0.125,0
31.325,0.125,0
31.275,0.125,0
31.225,0.125,0
31.175,0.125,0
31.125,0.125,0
31.075,0.125,0
